p_name,p_type,p_org,cf_id
Jean Fontana,Investor Relations,Christopher & Banks Corporation ,4394051
,,,
Keri Jones,President and Chief Executive Officer,Christopher & Banks Corporation ,4394051
,,,
Richard Bundy,Chief Financial Officer,Christopher & Banks Corporation ,4394051
,,,
Eric Beder,guest participant,SCC Research,4394051
,,,
Friedrich Joussen,CEO,TUI AG ,4394041
,,,
Sebastian Ebel,CFO,TUI AG ,4394041
,,,
Birgit Conix,CFO,TUI AG ,4394041
,,,
Jamie Rollo,guest participant,Morgan Stanley,4394041
,,,
Jaafar Mestari,guest participant,Exane BNP,4394041
,,,
James Ainley,guest participant,Citi,4394041
,,,
Stuart Gordon,guest participant,Berenberg,4394041
,,,
Richard Clarke,guest participant,Bernstein,4394041
,,,
Adrian Pehl,guest participant,Commerzbank,4394041
,,,
Cristian Nedelcu,guest participant,UBS,4394041
,,,
Jim Scully,Interim CEI,"J.Jill, Inc. ",4394039
,,,
Mark Webb,EVP & CFO,"J.Jill, Inc. ",4394039
,,,
Allison Malkin,"ICR, IR",RH ,4393997
,,,
Gary Friedman,Chairman and CEO,RH ,4393997
,,,
Jack Preston,Chief Financial Officer,RH ,4393997
,,,
Adrienne Yih,guest participant,Barclays,4393997
,,,
Max Rakhlenko,guest participant,Cowen and Company,4393997
,,,
Steven Forbes,guest participant,Guggenheim Securities,4393997
,,,
Chuck Grom,guest participant,Gordon Haskett,4393997
,,,
Michael Lasser,guest participant,UBS,4393997
,,,
Curtis Nagle,guest participant,Bank of America,4393997
,,,
Brad Thomas,guest participant,KeyBanc,4393997
,,,
Tami Zakaria,guest participant,JPMorgan,4393997
,,,
Seth Basham,guest participant,Wedbush Securities,4393997
,,,
Jeremy Feffer,LifeSci Advisors,"Enzo Biochem, Inc. ",4393966
,,,
Barry Weiner,Co-Founder and President,"Enzo Biochem, Inc. ",4393966
,,,
David Bench,Chief Financial Officer,"Enzo Biochem, Inc. ",4393966
,,,
Kyle Mikson,guest participant,Cantor Fitzgerald,4393966
,,,
Thomas O,guest participant,Evermore Global,4393966
,,,
Paul Nouri,guest participant,Noble Equity,4393966
,,,
Jonathan Ornstein,Chairman and CEO,"Mesa Air Group, Inc. ",4393961
,,,
Mike Lotz,President and CFO,"Mesa Air Group, Inc. ",4393961
,,,
Brian Gillman,Executive VP and General Counsel,"Mesa Air Group, Inc. ",4393961
,,,
Brad Rich,Chief Operating Officer,"Mesa Air Group, Inc. ",4393961
,,,
Savi Syth,guest participant,Raymond James,4393961
,,,
Bert Subin,guest participant,Stifel,4393961
,,,
Mike Linenberg,guest participant,Deutsche Bank,4393961
,,,
Helane Becker,guest participant,Cowen,4393961
,,,
George Stien,guest participant,Corre Partners,4393961
,,,
Brian Campbell,EVP of Business Development,Evertz Technologies Limited ,4393959
,,,
Doug Moore,CFO,Evertz Technologies Limited ,4393959
,,,
Thanos Moschopoulos,guest participant,BMO Capital Markets,4393959
,,,
Boyang Li,guest participant,RBC Capital Markets,4393959
,,,
Robert Young,guest participant,Canaccord,4393959
,,,
Steven Li,guest participant,Raymond James,4393959
,,,
Satya Chillara,Investor Relations,Genasys Inc. ,4393958
,,,
Dennis Klahn,Chief Financial Officer ,Genasys Inc. ,4393958
,,,
Richard Danforth,Chief Executive Officer,Genasys Inc. ,4393958
,,,
Mike Latimore,guest participant,Northland Capital,4393958
,,,
Ed Woo,guest participant,Ascendiant Capital,4393958
,,,
Ryan MacWilliams,guest participant,Stephens,4393958
,,,
Rick Neaton,guest participant,Rivershore Investments,4393958
,,,
Lloyd Korten,guest participant,Unique Investments,4393958
,,,
Greg Orenstein,Chief Corporate Development & Legal Officer,"nCino, Inc. ",4393956
,,,
Pierre Naude,CEO,"nCino, Inc. ",4393956
,,,
David Rudow,CFO,"nCino, Inc. ",4393956
,,,
Saket Kalia,guest participant,Barclays Capital,4393956
,,,
Brad Sills,guest participant,Bank of America Merrill Lynch,4393956
,,,
Terry Tillman,guest participant,Truist Securities,4393956
,,,
Josh Beck,guest participant,Keybanc,4393956
,,,
Brent Bracelin,guest participant,Piper Sandler,4393956
,,,
Alex Sklar,guest participant,Raymond James,4393956
,,,
Edward Kennedy,"President, CEO & Director","North West Company, Inc. ",4393954
,,,
Amanda Sutton,"VP, Legal & Corporate Secretary","North West Company, Inc. ",4393954
,,,
Alex Yeo,"President, Canadian Retail","North West Company, Inc. ",4393954
,,,
Daniel McConnell,"President, International Retail","North West Company, Inc. ",4393954
,,,
John King,EVP & CFO,"North West Company, Inc. ",4393954
,,,
Michael Van Aelst,guest participant,TD Securities,4393954
,,,
Stephen MacLeod,guest participant,BMO Capital Markets,4393954
,,,
Sabahat Khan,guest participant,RBC Capital Markets,4393954
,,,
Matt Bank,guest participant,CIBC Capital Markets,4393954
,,,
Alan Roden,"SVP, Corporate Development",Verint Systems Inc. ,4393949
,,,
Dan Bodner,CEO,Verint Systems Inc. ,4393949
,,,
Doug Robinson,CFO,Verint Systems Inc. ,4393949
,,,
Shaul Eyal,guest participant,Oppenheimer,4393949
,,,
Daniel Ives,guest participant,Wedbush Securities,4393949
,,,
Ryan MacDonald,guest participant,Needham & Company,4393949
,,,
Brian Essex,guest participant,Goldman Sachs,4393949
,,,
Paul Coster,guest participant,J.P. Morgan,4393949
,,,
Dan Bergstrom,guest participant,RBC Capital Markets,4393949
,,,
Neil Rossy,President and Chief Executive Officer,Dollarama Inc. ,4393933
,,,
Michael Ross,Chief Financial Officer,Dollarama Inc. ,4393933
,,,
Irene Nattel,guest participant,RBC Capital Markets,4393933
,,,
Mark Petrie,guest participant,CIBC Capital Markets,4393933
,,,
Christopher Li,guest participant,Desjardins Securities Inc.,4393933
,,,
Peter Sklar,guest participant,BMO Capital Markets,4393933
,,,
Vishal Shreedhar,guest participant,"National Bank Financial, Inc",4393933
,,,
Brian Morrison,guest participant,TD Securities Equity Research,4393933
,,,
Karen Short,guest participant,Barclays Investment Bank,4393933
,,,
Patricia Baker,guest participant,Scotiabank Global Banking and Markets,4393933
,,,
Edward Kelly,guest participant,"Wells Fargo Securities, LLC",4393933
,,,
Ryan Coleman,Alpha IR Group,"Powell Industries, Inc. ",4393928
,,,
Brett Cope,President and CEO,"Powell Industries, Inc. ",4393928
,,,
Michael Metcalf,EVP and CFO,"Powell Industries, Inc. ",4393928
,,,
John Franzreb,guest participant,Sidoti & Company,4393928
,,,
Jon Braatz,guest participant,Kansas City Capital,4393928
,,,
John Deysher,guest participant,Pinnacle,4393928
,,,
Eric Cerny,IR,GameStop Corp. ,4393729
,,,
George Sherman,CEO,GameStop Corp. ,4393729
,,,
Jim Bell,EVP & CFO,GameStop Corp. ,4393729
,,,
Ashley Helgans,guest participant,Jefferies,4393729
,,,
Colin Sebastian,guest participant,Robert W. Baird,4393729
,,,
William Reuter,guest participant,Bank of America,4393729
,,,
Joe Feldman,guest participant,Telsey Advisory Group,4393729
,,,
Seth Sigman,guest participant,Credit Suisse,4393729
,,,
Curtis Nagle,guest participant,Bank of America,4393729
,,,
Steven Gitlin,Chief Marketing Officer and Vice President of Investor Relations,"AeroVironment, Inc. ",4393726
,,,
